ILCE_ADI;MAHALLE_ADI
GÜZELBAHÇE;ÇAMLI
GÜZELBAHÇE;ÇELEBİ
GÜZELBAHÇE;KAHRAMANDERE
GÜZELBAHÇE;KÜÇÜKKAYA
GÜZELBAHÇE;MALTEPE
GÜZELBAHÇE;MUSTAFA KEMAL PAŞA
GÜZELBAHÇE;PAYAMLI
GÜZELBAHÇE;SİTELER
GÜZELBAHÇE;YAKA
GÜZELBAHÇE;YALI
GÜZELBAHÇE;YELKİ
KARABAĞLAR;ABDİ İPEKÇİ
KARABAĞLAR;ADNAN SÜVARİ
KARABAĞLAR;ALİ FUAT CEBESOY
KARABAĞLAR;ALİ FUAT ERDEN
KARABAĞLAR;ARAP HASAN
KARABAĞLAR;AŞIK VEYSEL
KARABAĞLAR;AYDIN
KARABAĞLAR;BAHAR
KARABAĞLAR;BAHÇELİEVLER
KARABAĞLAR;BAHRİYE ÜÇOK
KARABAĞLAR;BARIŞ
KARABAĞLAR;BASIN SİTESİ
KARABAĞLAR;BOZYAKA
KARABAĞLAR;CENNETÇEŞME
KARABAĞLAR;CENNETOĞLU
KARABAĞLAR;ÇALIKUŞU
KARABAĞLAR;DEVRİM
KARABAĞLAR;DOĞANAY
KARABAĞLAR;ESENLİK
KARABAĞLAR;ESENTEPE
KARABAĞLAR;ESENYALI
KARABAĞLAR;FAHRETTİN ALTAY
KARABAĞLAR;GAZİ
KARABAĞLAR;GENERAL ASIM GÜNDÜZ
KARABAĞLAR;GENERAL KAZIM ÖZALP
KARABAĞLAR;GÜLYAKA
KARABAĞLAR;GÜNALTAY
KARABAĞLAR;İHSAN ALYANAK
KARABAĞLAR;KARABAĞLAR
KARABAĞLAR;KAVACIK
KARABAĞLAR;KAZIM KARABEKİR
KARABAĞLAR;KİBAR
KARABAĞLAR;LİMONTEPE
KARABAĞLAR;MALİYECİLER
KARABAĞLAR;METİN OKTAY
KARABAĞLAR;MUAMMER AKAR
KARABAĞLAR;OSMAN AKSÜNER
KARABAĞLAR;ÖZGÜR
KARABAĞLAR;PEKER
KARABAĞLAR;POLİGON
KARABAĞLAR;REFET BELE
KARABAĞLAR;REİS
KARABAĞLAR;SALİH OMURTAK
KARABAĞLAR;SARIYER
KARABAĞLAR;SELVİLİ
KARABAĞLAR;SEVGİ
KARABAĞLAR;ŞEHİTLER
KARABAĞLAR;TAHSİN YAZICI
KARABAĞLAR;TIRAZLI
KARABAĞLAR;UĞUR MUMCU
KARABAĞLAR;UMUT
KARABAĞLAR;UZUNDERE
KARABAĞLAR;ÜÇKUYULAR
KARABAĞLAR;VATAN
KARABAĞLAR;YAŞAR KEMAL
KARABAĞLAR;YUNUS EMRE
KARABAĞLAR;YURDOĞLU
KARABAĞLAR;YÜZBAŞI ŞERAFETTİN
KARABURUN;ANBARSEKİ
KARABURUN;BOZKÖY
KARABURUN;EĞLENHOCA
KARABURUN;HASSEKİ
KARABURUN;İNECİK
KARABURUN;İSKELE
KARABURUN;KÖSEDERE
KARABURUN;KÜÇÜKBAHÇE
KARABURUN;MERKEZ
KARABURUN;MORDOĞAN
KARABURUN;PARLAK
KARABURUN;SAİP
KARABURUN;SALMAN
KARABURUN;SARPINCIK
KARABURUN;TEPEBOZ
KARABURUN;YAYLA
KARŞIYAKA;AKSOY
KARŞIYAKA;ALAYBEY
KARŞIYAKA;ATAKENT
KARŞIYAKA;BAHARİYE
KARŞIYAKA;BAHÇELİEVLER
KARŞIYAKA;BAHRİYE ÜÇOK
KARŞIYAKA;BOSTANLI
KARŞIYAKA;CUMHURİYET
KARŞIYAKA;DEDEBAŞI
KARŞIYAKA;DEMİRKÖPRÜ
KARŞIYAKA;DONANMACI
KARŞIYAKA;FİKRİ ALTAY
KARŞIYAKA;GONCALAR
KARŞIYAKA;İMBATLI
KARŞIYAKA;İNÖNÜ
KARŞIYAKA;LATİFE HANIM
KARŞIYAKA;MAVİŞEHİR
KARŞIYAKA;MUSTAFA KEMAL
KARŞIYAKA;NERGİZ
KARŞIYAKA;ÖRNEKKÖY
KARŞIYAKA;SANCAKLI
KARŞIYAKA;ŞEMİKLER
KARŞIYAKA;TERSANE
KARŞIYAKA;TUNA
KARŞIYAKA;YALI
KARŞIYAKA;YAMANLAR
KARŞIYAKA;ZÜBEYDE HANIM
KEMALPAŞA;AKALAN
KEMALPAŞA;ANSIZCA
KEMALPAŞA;ARMUTLU 85.YIL CUMHURİYET
KEMALPAŞA;ARMUTLU HÜRRİYET
KEMALPAŞA;AŞAĞI YENMİŞ
KEMALPAŞA;AŞAĞIKIZILCA
KEMALPAŞA;ATATÜRK
KEMALPAŞA;BAĞYURDU 29 EKİM
KEMALPAŞA;BAĞYURDU KAZIMPAŞA
KEMALPAŞA;BAĞYURDU KEMAL ATATÜRK
KEMALPAŞA;BAĞYURDU YENİ
KEMALPAŞA;BAYRAMLI
KEMALPAŞA;BEŞPINAR
KEMALPAŞA;CUMALI
KEMALPAŞA;ÇAMBEL
KEMALPAŞA;ÇINARKÖY
KEMALPAŞA;ÇİNİLİKÖY
KEMALPAŞA;DAMLACIK
KEMALPAŞA;DEREKÖY
KEMALPAŞA;GÖKÇEYURT
KEMALPAŞA;GÖKYAKA
KEMALPAŞA;HALİLBEYLİ
KEMALPAŞA;HAMZABABA
KEMALPAŞA;KAMBERLER
KEMALPAŞA;KIZILÜZÜM
KEMALPAŞA;KUYUCAK
KEMALPAŞA;MEHMET AKİF ERSOY
KEMALPAŞA;NAZARKÖY
KEMALPAŞA;OVACIK
KEMALPAŞA;ÖREN 75.YIL CUMHURİYET
KEMALPAŞA;ÖREN EGEMEN
KEMALPAŞA;ÖRNEKKÖY
KEMALPAŞA;SARIÇALI
KEMALPAŞA;SARILAR
KEMALPAŞA;SEKİZ EYLÜL
KEMALPAŞA;SİNANCILAR
KEMALPAŞA;SOĞUKPINAR
KEMALPAŞA;SÜTÇÜLER
KEMALPAŞA;ULUCAK CUMHURİYET
KEMALPAŞA;ULUCAK İSTİKLAL
KEMALPAŞA;ULUCAK MUSTAFA KEMAL ATATÜRK
KEMALPAŞA;VİŞNELİ
KEMALPAŞA;YENİKURUDERE
KEMALPAŞA;YENMİŞ
KEMALPAŞA;YEŞİLKÖY
KEMALPAŞA;YEŞİLYURT
KEMALPAŞA;YİĞİTLER
KEMALPAŞA;YUKARIKIZILCA MERKEZ
KEMALPAŞA;ZEAMET
KINIK;ARPADERE
KINIK;ARPASEKİ
KINIK;AŞAĞI
KINIK;AZİZİYE
KINIK;BADEMALAN
KINIK;BAĞALAN
KINIK;BALABAN
KINIK;BÜYÜKOBA
KINIK;CUMALI
KINIK;ÇALTI
KINIK;ÇANKÖY
KINIK;ÇİFTLİKKÖY
KINIK;DEĞİRMENCİELİ
KINIK;DÜNDARLI
KINIK;ELMADERE
KINIK;FATİH
KINIK;HAMZAHOCALI
KINIK;IŞIKLAR
KINIK;İBRAHİMAĞA
KINIK;KALEMKÖY
KINIK;KARADERE
KINIK;KARATEKELİ
KINIK;KOCAÖMER
KINIK;KODUKBURUN
KINIK;KÖSELER
KINIK;MISTIKLAR
KINIK;MUSACALI
KINIK;OSMANİYE
KINIK;ÖRTÜLÜ
KINIK;POYRACIK
KINIK;SUCAHLI
KINIK;TAŞTEPE
KINIK;TÜRKCEDİT
KINIK;YAYAKENT
KINIK;YAYLAKÖY
KINIK;YENİ
KINIK;YUKARI
KİRAZ;AHMETLER
KİRAZ;AKPINAR
KİRAZ;ALTINOLUK
KİRAZ;ARKACILAR
KİRAZ;AVUNDURUK
KİRAZ;AYDOĞDU
KİRAZ;BAHÇEARASI
KİRAZ;BAŞARAN
KİRAZ;CERİTLER
KİRAZ;CEVİZLİ
KİRAZ;CUMHURİYET
KİRAZ;ÇANAKÇI
KİRAZ;ÇATAK
KİRAZ;ÇAYAĞZI
KİRAZ;ÇÖMLEKÇİ
KİRAZ;DOĞANCILAR
